gender,ethnicity,birth,stark,readk,mathk,lunchk,schoolk,degreek,ladderk,experiencek,tethnicityk,systemk,schoolidk
0.0,afam,1979.5,,,,,,,,,,,
0.0,cauc,1980.0,small,447.0,473.0,0.0,rural,bachelor,level1,7.0,cauc,30.0,63.0
0.0,afam,1979.75,small,450.0,536.0,0.0,suburban,bachelor,level1,21.0,cauc,11.0,20.0
1.0,cauc,1979.75,,,,,,,,,,,
1.0,afam,1980.0,regular+aide,439.0,463.0,1.0,inner-city,bachelor,probation,0.0,cauc,11.0,19.0
1.0,cauc,1979.5,,,,,,,,,,,
1.0,afam,1979.0,,,,,,,,,,,
0.0,cauc,1979.75,,,,,,,,,,,
1.0,cauc,1979.25,,,,,,,,,,,
1.0,cauc,1979.5,,,,,,,,,,,
1.0,cauc,1980.25,regular,448.0,559.0,0.0,rural,bachelor,level1,16.0,cauc,35.0,69.0
1.0,cauc,1980.25,small,447.0,489.0,1.0,rural,bachelor,level1,5.0,cauc,41.0,79.0
1.0,cauc,1980.25,regular,431.0,454.0,1.0,rural,bachelor,level1,8.0,cauc,4.0,5.0
0.0,afam,1980.25,regular+aide,395.0,423.0,1.0,inner-city,master,level1,17.0,cauc,11.0,16.0
0.0,cauc,1980.0,,,,,,,,,,,
0.0,cauc,1980.0,,,,,,,,,,,
0.0,afam,1980.25,,,,,,,,,,,
0.0,afam,1979.5,,,,,,,,,,,
0.0,afam,1980.5,,,,,,,,,,,
1.0,afam,1980.25,,,,,,,,,,,
0.0,cauc,1980.0,regular,451.0,500.0,0.0,rural,bachelor,apprentice,3.0,afam,24.0,56.0
1.0,cauc,1979.25,,,,,,,,,,,
0.0,afam,1980.5,small,478.0,439.0,0.0,rural,bachelor,level1,11.0,cauc,8.0,11.0
1.0,cauc,1979.75,,,,,,,,,,,
0.0,cauc,1980.5,small,455.0,528.0,0.0,rural,bachelor,level1,10.0,cauc,32.0,66.0
1.0,cauc,1979.0,,,,,,,,,,,
0.0,cauc,1980.25,,,,,,,,,,,
1.0,cauc,1980.0,regular,430.0,473.0,0.0,rural,master,level1,13.0,cauc,14.0,38.0
1.0,cauc,1980.5,regular+aide,437.0,468.0,0.0,rural,master,level1,6.0,cauc,35.0,69.0
0.0,afam,1980.0,regular,,,1.0,inner-city,bachelor,,9.0,afam,11.0,28.0
0.0,cauc,1979.25,,,,,,,,,,,
1.0,cauc,1980.0,small,474.0,559.0,0.0,suburban,bachelor,probation,0.0,cauc,18.0,43.0
1.0,cauc,1980.0,small,424.0,494.0,0.0,rural,bachelor,level1,6.0,cauc,36.0,71.0
1.0,cauc,1979.5,regular+aide,490.0,528.0,0.0,suburban,bachelor,level1,18.0,cauc,22.0,52.0
1.0,cauc,1980.5,regular,439.0,484.0,0.0,suburban,master,level1,13.0,cauc,22.0,54.0
0.0,cauc,1979.75,regular+aide,424.0,459.0,1.0,rural,bachelor,level1,12.0,cauc,9.0,12.0
0.0,afam,1980.5,regular,437.0,528.0,1.0,suburban,bachelor,apprentice,1.0,afam,11.0,21.0
0.0,cauc,1979.0,,,,,,,,,,,
0.0,cauc,1980.25,small,422.0,478.0,0.0,rural,master,level1,8.0,cauc,40.0,76.0
1.0,cauc,1979.75,regular,424.0,559.0,1.0,rural,bachelor,level1,13.0,cauc,41.0,79.0
1.0,cauc,1979.5,,,,,,,,,,,
1.0,cauc,1980.25,regular,,,0.0,rural,bachelor,,5.0,cauc,1.0,1.0
0.0,cauc,1979.25,,,,,,,,,,,
1.0,cauc,1980.25,regular,431.0,454.0,0.0,rural,master,level1,13.0,cauc,6.0,8.0
1.0,afam,1980.0,,,,,,,,,,,
0.0,afam,,,,,,,,,,,,
1.0,cauc,1980.0,regular+aide,451.0,473.0,0.0,rural,bachelor,level1,3.0,cauc,32.0,66.0
1.0,cauc,1980.0,small,456.0,602.0,1.0,urban,master,level1,14.0,cauc,26.0,59.0
1.0,cauc,1979.25,,,,,,,,,,,
0.0,cauc,1980.0,,,,,,,,,,,
0.0,afam,1980.25,regular+aide,421.0,459.0,1.0,inner-city,bachelor,level1,11.0,cauc,11.0,31.0
1.0,afam,1980.25,regular+aide,463.0,576.0,1.0,inner-city,bachelor,level1,10.0,afam,11.0,27.0
0.0,afam,1980.0,regular+aide,425.0,520.0,0.0,suburban,bachelor,level1,8.0,afam,11.0,17.0
0.0,cauc,1979.75,regular,522.0,559.0,0.0,urban,bachelor,level1,8.0,cauc,6.0,9.0
0.0,cauc,1980.25,regular+aide,413.0,459.0,0.0,rural,master,level1,5.0,cauc,15.0,39.0
1.0,cauc,1980.5,regular,416.0,513.0,0.0,rural,master,level1,13.0,cauc,23.0,55.0
1.0,afam,1980.25,,,,,,,,,,,
1.0,afam,1980.0,,,,,,,,,,,
0.0,cauc,1979.0,,,,,,,,,,,
0.0,afam,1980.75,regular,419.0,423.0,1.0,inner-city,bachelor,probation,0.0,afam,11.0,27.0
0.0,cauc,1980.5,regular+aide,431.0,494.0,0.0,suburban,bachelor,level1,3.0,cauc,25.0,58.0
0.0,cauc,1978.0,,,,,,,,,,,
1.0,afam,1979.5,,,,,,,,,,,
0.0,cauc,1979.5,,,,,,,,,,,
1.0,cauc,1980.5,small,418.0,439.0,0.0,rural,bachelor,level1,8.0,cauc,21.0,49.0
0.0,afam,1980.0,regular,422.0,434.0,1.0,rural,master,level1,15.0,cauc,5.0,7.0
1.0,afam,1980.5,,,,,,,,,,,
0.0,afam,1980.0,small,414.0,434.0,1.0,rural,bachelor,level1,8.0,cauc,4.0,5.0
